,Unnamed: 0,l,avg_pos_degree_of_bal,avg_neg_degree_of_bal,avg_rel_signed_clust_coeff,avg_pos_to_neg_ratio,avg_neg_to_pos_ratio,avg_total,avg_pos,avg_neg,zeros_total,zeros_pos,zeros_neg,std_pos_degree_of_bal,std_neg_degree_of_bal,std_rel_signed_clust_coeff,std_pos_to_neg_ratio,std_neg_to_pos_ratio,std_total,std_pos,std_neg,avg_pos_degree_of_bal_graph,avg_neg_degree_of_bal_graph,run,kind,directed,com_sizes,edge_probs,neg_edge_prob,n_nodes,n_edges,n_pos_edges,n_neg_edges,alg,n_samples,max_length,exact,parallel,full_matrix_mem,clean_matrix_mem,alg_run_time,alg_peak_mem,alg_only_mem,init_mem,seed,script_run_time,exp_date
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5210893804567251,0.4789106195432747,1.0,sbm,False,"[10, 10]","[[0.5, 0.2], [0.2, 0.5]]",0.5,20.0,60.0,32.0,28.0,cx,20.0,10.0,False,False,400.0,400.0,9.378983974456789,86484.0,37304.0,49180.0,4259459283.0,9.448846101760864,2024-11-10 23:11:58.572391
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.5479254079254082,0.4520745920745915,0.0958508158508167,1.1967787114845956,13053911963393.78,5.1,2.6000000000000005,2.4999999999999982,False,False,False,0.26585540066089,0.2658554006608899,0.5317108013217801,0.8983455742043767,56900683066305.32,3.112876483254674,1.56204993518133,1.9874606914351771,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.5372503227766366,0.4627496772233634,0.0745006455532732,31274997412295.73,-7764826943741.294,7.299999999999988,3.499999999999983,3.8000000000000074,False,False,False,0.2435932143495489,0.2435932143495489,0.4871864286990978,128950117771810.23,33846095961854.43,6.116371473349214,2.7110883423451875,3.627671429443417,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.4886499665460656,0.5113500334539345,-0.0227000669078689,-56167631099271.766,-968516048896.2112,10.79999999999992,5.249999999999899,5.55000000000002,False,False,False,0.4140189493991854,0.4140189493991854,0.8280378987983708,245432300488201.5,4221663582338.848,11.258774356030136,5.146600819958773,6.3045618404454205,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.7219716164355526,0.2780283835644473,0.4439432328711052,1653489836548.3667,0.7536335148218034,13.64999999999922,6.699999999999474,6.949999999999749,False,False,False,0.5097342565928236,0.5097342565928236,1.0194685131856471,9415273648798.39,0.6400485661915891,17.607597791861465,8.769834662066751,8.98596127300778,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.2505773258459459,0.749422674154054,-0.498845348308108,-439804651107.35706,-75926825041.29636,13.900000000000546,7.399999999999734,6.50000000000081,False,False,False,1.3296646977596798,1.32966469775968,2.65932939551936,1917064029088.4216,330957357462.49304,21.789676454691246,11.213384859178076,10.786565718523132,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5202800180706281,0.4797199819293721,0.0405600361412559,156267586658.9482,-98417824023.1332,11.29999999999937,5.449999999997409,5.850000000001962,False,False,False,0.2505358748341948,0.2505358748341948,0.5010717496683896,592120884360.583,428993349165.4988,19.91255885113709,10.07707794947728,10.006372969270794,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.5288356619880985,0.4711643380119016,0.0576713239761969,1.6014440607044105,-171897091347.7242,6.549999999969804,3.2499999999852123,3.2999999999845957,False,False,False,0.2807294409308489,0.2807294409308489,0.5614588818616978,14.551861957841467,776280075517.9348,10.938349966898734,5.778191758643846,5.320714237726448,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5680935384547023,0.4319064615452976,0.1361870769094047,0.8881801285293814,1.0500652686425938,1.3500000001050163,0.6500000000584403,0.7000000000465763,False,False,False,0.2850640013746988,0.2850640013746988,0.5701280027493977,1.0269540283720269,0.6755998606729976,3.22916397870897,1.5580436452184612,1.6763054615100192,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5533746445357519,0.4466253554642482,2.0,sbm,False,"[10, 10]","[[0.5, 0.2], [0.2, 0.5]]",0.5,20.0,62.0,29.0,33.0,cx,20.0,10.0,False,False,400.0,400.0,10.153136014938354,88755.0,37352.0,51403.0,1535995910.0,10.225967168807983,2024-11-10 23:11:58.571921
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.4712301587301593,0.5287698412698407,-0.0575396825396813,0.898225957049488,191620681267866.62,5.65,2.500000000000001,3.1499999999999977,False,False,False,0.3160158482005809,0.3160158482005809,0.6320316964011617,0.8147043427598517,592475886229036.1,4.089926649709012,1.8574175621006697,2.761792895928294,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.6119571491310609,0.3880428508689392,0.2239142982621214,31274997412296.902,0.979129767291544,9.449999999999996,5.549999999999989,3.900000000000007,False,False,False,0.2359635380136428,0.2359635380136427,0.4719270760272856,128950117771810.77,1.0175129356788193,9.091067044082346,5.286539510870984,4.403407771260803,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.5034633642194033,0.4965366357805967,0.0069267284388065,-19752629944605.88,1.35700707338647,15.049999999999788,6.94999999999983,8.099999999999959,False,False,False,0.2117208938437481,0.2117208938437481,0.4234417876874962,83803311480599.69,1.016360170382779,16.773416467732464,8.423033895218513,8.825531145489174,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.5455808738307015,0.4544191261692985,0.0911617476614028,57420435895.18638,478427722455.3115,19.85000000000015,10.150000000000166,9.699999999999989,False,False,False,0.2457561892911641,0.245756189291164,0.4915123785823282,243614277557.9856,2085418093966.576,25.110306648864874,12.892924416128867,12.45833054626498,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.5954532109296806,0.4045467890703191,0.1909064218593615,-971143875794.58,-76435838888.80287,21.39999999999464,10.649999999998284,10.749999999996364,False,False,False,0.231863409271712,0.231863409271712,0.463726818543424,3922301578425.948,333176097384.22864,30.25789153261615,14.395398570377257,16.074436226498136,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.4183926042717377,0.5816073957282624,-0.1632147914565246,-24741108327.6786,7661267739.149759,17.10000000000189,7.850000000005158,9.24999999999673,False,False,False,0.8019289581583009,0.8019289581583009,1.6038579163166018,74063234230.33768,33394691851.190758,27.42425933365456,12.515090890608956,15.31951369984298,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.4317918325924577,0.5682081674075423,-0.1364163348150845,1194206290.103727,0.5207235853215489,9.600000000007348,5.400000000024371,4.199999999982978,False,False,False,0.7581605148535663,0.7581605148535664,1.5163210297071326,7581393998.277368,1.1220652428154527,15.183543723506006,9.063112048331686,7.004284403177596,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,-0.1832811359657497,1.1832811359657498,-1.3665622719314994,-0.9781257124184976,209161620.8753619,1.1000000000715455,0.4000000000474838,0.7000000000240616,False,False,False,2.759468118550896,2.759468118550896,5.518936237101792,7.312737386718489,12580980367.307491,2.8266588051167223,1.356465996545038,1.7058722110145057,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.4975004599097259,0.5024995400902741,3.0,sbm,False,"[10, 10]","[[0.5, 0.2], [0.2, 0.5]]",0.5,20.0,74.0,32.0,42.0,cx,20.0,10.0,False,False,400.0,400.0,15.16062831878662,92545.0,37368.0,55177.0,1779285243.0,15.30131721496582,2024-11-10 23:12:50.911205
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.56863455988456,0.4313654401154397,0.1372691197691203,1.4000797448165885,0.8638492063492051,7.799999999999999,4.250000000000001,3.549999999999997,False,False,False,0.145416954147087,0.145416954147087,0.2908339082941741,0.9314175528699588,0.4417033866422423,3.841874542459707,1.867484939698309,2.246664193866096,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.4610939231333955,0.5389060768666046,-0.077812153733209,1.000583166833162,1.4833920608377276,16.149999999999984,7.499999999999977,8.650000000000006,False,False,False,0.1419620202565084,0.1419620202565084,0.2839240405130169,0.5866461997150876,1.1299536990604904,11.078244445759443,4.964876634922563,6.665395712183933,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.480328269256783,0.519671730743217,-0.039343461486434,0.9734551501886732,1.1437664760491115,28.299999999999955,14.249999999999924,14.050000000000034,False,False,False,0.079578311956636,0.079578311956636,0.159156623913272,0.3311570335603518,0.382980129616865,27.95728885281991,15.332563386466168,12.733715090263384,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.4974428244140733,0.5025571755859267,-0.0051143511718532,1.0528686763531536,1.066018294989348,41.34999999999776,21.199999999998475,20.149999999999288,False,False,False,0.0830947018303477,0.0830947018303477,0.1661894036606954,0.3887325501287003,0.3405241542379207,55.556525269313816,28.51420698528983,27.368366776262004,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.5141038366958883,0.4858961633041118,0.0282076733917762,1.128728333757392,1.0299001873824492,45.15000000000314,22.75000000000007,22.400000000003068,False,False,False,0.0910729609976446,0.0910729609976446,0.1821459219952892,0.3915560117256763,0.5118135944195891,80.09199398190012,38.42639067098429,41.7748728304378,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.4936608348043482,0.5063391651956518,-0.0126783303913039,1.0923157661043317,1.133737015071704,33.25000000000095,16.79999999999425,16.4500000000067,False,False,False,0.110007841595447,0.110007841595447,0.2200156831908941,0.5746554228961823,0.5022796795567653,76.784682717511,40.07318305309527,36.7661189141233,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.1351667974896253,0.8648332025103747,-0.7296664050207493,730816730.0512677,0.7900361402109806,14.399999999963049,6.999999999984621,7.399999999978425,False,False,False,1.2595950468525996,1.2595950468525996,2.519190093705199,3185556268.1312647,0.9381073277928788,35.101851802349884,16.74216234508966,18.396738841103147,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.5283655489939544,0.4716344510060456,0.0567310979879088,2.5237792671851915,3944712726.287716,0.999999999900641,0.3499999999281741,0.6499999999724668,False,False,False,0.2805578373812455,0.2805578373812455,0.561115674762491,6.455738124982228,17194604143.750286,3.065941943363142,1.107925990257206,1.9817921183199605,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5003433103532434,0.4996566896467564,4.0,sbm,False,"[10, 10]","[[0.5, 0.2], [0.2, 0.5]]",0.5,20.0,63.0,28.0,35.0,cx,20.0,10.0,False,False,400.0,400.0,12.275452852249146,89382.0,37309.0,52073.0,347749838.0,12.354109048843384,2024-11-10 23:13:28.419821
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.4947853535353539,0.5052146464646461,-0.010429292929292,1.3849624060150396,140144272275379.38,6.15,3.250000000000001,2.8999999999999977,False,False,False,0.2702311684811387,0.2702311684811387,0.5404623369622774,1.2535520727278189,368626559895205.44,3.350746185553299,2.299456457513382,1.841195263952196,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.4906206709956683,0.5093793290043319,-0.0187586580086635,1.1583760683760598,-13143587274562.871,10.549999999999985,5.5499999999999785,5.000000000000006,False,False,False,0.1837457760512438,0.1837457760512438,0.3674915521024876,0.5852718392913553,46792324166056.69,7.15873592193482,3.9808918598726057,3.521363372331804,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.457062413297901,0.5429375867020989,-0.0858751734041978,1.0011333173620218,-751225959526.9113,18.49999999999992,8.499999999999911,10.000000000000004,False,False,False,0.1495233107443803,0.1495233107443803,0.2990466214887606,0.655368546905462,3274518041347.3174,13.143439428095052,6.3126856408346965,7.155417527999409,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.5493827414246798,0.4506172585753201,0.0987654828493598,-396792918709.7617,-233589192290.2136,24.64999999999828,13.199999999998925,11.449999999999363,False,False,False,0.1912822958997505,0.1912822958997505,0.382564591799501,1729580234174.481,1018191683499.936,21.014935165256336,11.1919614009331,9.997374655377625,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.6116108287369678,0.3883891712630322,0.2232216574739356,-232282602303.7606,-562013264646.2893,25.25000000000845,12.500000000004004,12.750000000004452,False,False,False,0.395636803838893,0.395636803838893,0.7912736076777861,711539974625.8577,2449759025526.27,27.165925347768315,13.351029922822915,14.088559188225991,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.53270694294382,0.4672930570561799,0.06541388588764,-54422094601.89732,8303128776.845576,19.299999999958576,9.44999999997891,9.84999999997967,False,False,False,0.2874140207004499,0.2874140207004499,0.5748280414008999,123297206139.82986,58279477584.92407,29.327632021657127,13.55166041484606,16.041430734183468,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.5369627121505396,0.4630372878494604,0.0739254243010791,447933570.67814016,-1901677258.9896595,9.950000000099488,4.800000000052097,5.15000000004739,False,False,False,0.7772571842863265,0.7772571842863264,1.554514368572653,3248063890.1131296,8289218996.7146845,21.523185173172102,9.957911427608565,11.65879496342394,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,0.4518620390713432,0.5481379609286567,-0.0962759218573135,-2164690891.07876,495057737.0286711,2.599999999874795,1.2999999999328251,1.2999999999419694,False,False,False,0.3554845359770662,0.3554845359770662,0.7109690719541325,8858418540.478401,2157906640.388828,6.019966777603587,3.0347981812244886,3.1320919528385667,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5100198975165627,0.4899801024834374,5.0,sbm,False,"[10, 10]","[[0.5, 0.2], [0.2, 0.5]]",0.5,20.0,67.0,28.0,39.0,cx,20.0,10.0,False,False,400.0,400.0,11.873684883117676,90347.0,37288.0,53059.0,2843683941.0,11.953356981277466,2024-11-10 23:12:02.720082
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.4556322680587391,0.544367731941261,-0.0887354638825219,1.027830940988837,121363236711608.52,6.699999999999998,2.900000000000001,3.799999999999998,False,False,False,0.2368952998454997,0.2368952998454997,0.4737905996909995,0.8722142091432948,384899611342964.1,4.313930922024596,2.046948949045871,2.7856776554368223,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.5926912923561849,0.4073087076438152,0.1853825847123696,1.6392200854700745,0.922048507048513,11.249999999999996,5.799999999999989,5.450000000000006,False,False,False,0.2055535316983972,0.2055535316983972,0.4111070633967944,1.3552756781906905,0.7407465847861887,11.125983102629622,5.153639490690044,6.336205489092035,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.4963790187940501,0.5036209812059498,-0.0072419624118997,-3127499741227.9653,-391958192111.10144,18.199999999999743,9.19999999999982,8.999999999999922,False,False,False,0.2244461271532183,0.2244461271532183,0.4488922543064367,13632455317967.637,1708506149510.7495,20.97522347914319,11.034491379306989,10.305338422390587,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.5283469374646038,0.4716530625353962,0.0566938749292078,-702589645454.3273,219046674484.0079,23.900000000000045,12.800000000000017,11.100000000000035,False,False,False,0.2159145786690166,0.2159145786690166,0.4318291573380333,3062517263319.207,954802317989.769,31.632103945200303,16.12017369633417,15.88049117628274,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.4559675268601024,0.5440324731398977,-0.0880649462797953,1.1547280743133794,-37670463305.53902,23.899999999995917,12.249999999998192,11.649999999997718,False,False,False,0.1947633538777811,0.1947633538777811,0.3895267077555621,1.0770112525527684,293130851955.859,33.226344969020126,17.00551381170458,16.656155018493713,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.5344300993261439,0.465569900673856,0.0688601986522881,1.8234903501524105,51837012286.354805,18.05000000002736,10.10000000001391,7.950000000013449,False,False,False,0.1963637420295041,0.1963637420295041,0.3927274840590083,2.3667586787497723,225952298087.0849,24.12358804156472,13.341289293007128,10.979412552584805,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.4448153749740863,0.5551846250259138,-0.1103692500518275,16596401929.572016,6126512893.698482,10.34999999990242,5.699999999949154,4.649999999953264,False,False,False,0.3385087808119458,0.3385087808119458,0.6770175616238917,72342038832.76814,26704850575.27276,15.463747928618648,8.78122998218578,7.101232287419633,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,-0.1208408395804004,1.1208408395804004,-1.2416816791608003,-165573515719.48254,-5895357940.279112,2.250000000107719,1.2500000000389853,1.000000000068734,False,False,False,2.2593324734055478,2.2593324734055478,4.518664946811095,721718222750.7872,87423915719.08458,5.233306794050361,3.57596140922866,1.8973665961425,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5491714641867369,0.4508285358132631,6.0,sbm,False,"[10, 10]","[[0.5, 0.2], [0.2, 0.5]]",0.5,20.0,58.0,34.0,24.0,cx,20.0,10.0,False,False,400.0,400.0,9.099954843521118,87072.0,37344.0,49728.0,1121168978.0,9.175800085067747,2024-11-10 23:12:50.545159
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.5725000000000005,0.4274999999999996,0.1450000000000006,1.2588235294117662,112589990684263.16,4.05,2.1000000000000005,1.9499999999999988,False,False,False,0.2485838290557677,0.2485838290557677,0.4971676581115354,0.7941394332523524,490768391446885.25,1.8020821290940088,1.1789826122551588,1.4654350889752832,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.6023809523809505,0.3976190476190496,0.2047619047619008,-351843720888319.5,-12171890884784.326,4.549999999999985,2.749999999999983,1.800000000000002,False,False,False,0.2734256568449901,0.2734256568449901,0.5468513136899803,1362684871468116.0,53056042318582.38,3.2322592717787955,2.4057223447438814,1.6000000000000014,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.4516024608320967,0.5483975391679031,-0.0967950783358063,-23703155933525.992,-8396160681184.036,5.599999999999952,2.3499999999999184,3.250000000000034,False,False,False,0.3138413112353321,0.3138413112353321,0.6276826224706642,100563973776720.05,27127585935170.484,5.295280917949587,2.5548972582082863,3.686122624113379,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6,0.575114100393708,0.424885899606292,0.1502282007874162,11512079639594.348,1151815761476.4983,6.649999999999001,3.2999999999992298,3.3499999999997705,False,False,False,0.2863054716853994,0.2863054716853994,0.5726109433707989,34605811646305.08,5020648505849.163,6.513639535619687,3.5227829907606214,4.1143043154338965,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,7,0.5328754165514208,0.4671245834485792,0.0657508331028414,-811146383256.0137,1604646337238.8042,6.850000000001583,3.400000000000472,3.450000000001112,False,False,False,0.2890366896981894,0.2890366896981893,0.5780733793963788,3279162685591.6216,7282849944647.007,6.944602220430517,3.746998799039476,3.653423052427792,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,8,0.7045179207106368,0.2954820792893633,0.4090358414212733,371920189362.7813,-760743180294.7927,5.249999999998896,2.7999999999983083,2.4500000000005877,False,False,False,0.5510512433594563,0.5510512433594562,1.1021024867189126,1214542050224.9216,3316002644895.903,6.729598799345841,3.8026306683723856,3.05736814924745,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,9,0.6483001575819802,0.3516998424180197,0.2966003151639605,199911205017.65823,44270181511.24464,2.9999999999635727,1.5499999999838363,1.4499999999797355,False,False,False,0.8583020548049864,0.8583020548049863,1.716604109609973,3466024475520.934,231209069105.2872,5.787918451329225,3.106042498073039,2.7834331319041183,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,-0.2276255654765785,1.2276255654765786,-1.4552511309531568,-4103133776.535952,1860786538.1991737,1.1000000000322774,0.5000000000192865,0.6000000000129908,False,False,False,2.9528388533348777,2.9528388533348777,5.9056777066697554,17885145459.509186,8110980466.545236,3.0805843602743623,1.5329709717249265,1.6248076809978047,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,0.5387885532609777,0.4612114467390223,7.0,sbm,False,"[10, 10]","[[0.5, 0.2], [0.2, 0.5]]",0.5,20.0,58.0,37.0,21.0,cx,20.0,10.0,False,False,400.0,400.0,9.194295167922974,87549.0,37256.0,50293.0,1281646427.0,9.263118982315063,2024-11-10 23:12:47.847698
1,1,1,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,,,,,,0.0,0.0,0.0,True,True,True,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,3,0.6121428571428577,0.3878571428571424,0.2242857142857152,1.4555555555555584,59323854089667.61,3.4499999999999997,2.050000000000001,1.399999999999999,False,False,False,0.3044435651376806,0.3044435651376806,0.6088871302753612,1.4200504251175543,191737611547841.2,2.13248681121361,1.5644487847162003,1.113552872566003,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,0.5783333333333301,0.4216666666666698,0.1566666666666603,1.098888888888877,-7736098725662.02,4.349999999999984,2.449999999999982,1.9000000000000017,False,False,False,0.3134972975251265,0.3134972975251265,0.626994595050253,0.8603717255772877,24517193237496.72,3.453621287865824,2.333988003396758,1.5459624833740329,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,0.5691666666666488,0.4308333333333512,0.1383333333332975,-37139059427096.05,-1818576022866.0796,6.149999999999906,3.549999999999875,2.600000000000032,False,False,False,0.2799166266966669,0.279916626696667,0.5598332533933339,161861803283785.78,5553776061184.709,5.977248530887725,3.427462618322743,3.1527765540868797,,,,,,,,,,,,,,,,,,,,,,,,,,
